name,description
G9,Cavendish G9 variety — most common export grade
F1,First generation hybrid — high yield
Robusta,Robusta variety — thick skin suitable for long haul
Nendran,South Indian variety — medium bunch weight
Grand Nain,Grand Nain variety — popular in cold chain
Poovan,Poovan variety — thin skin locally consumed
Dwarf Cavendish,Dwarf Cavendish — short plant high density
Elakki,Elakki small banana — niche market
Monthan,Monthan variety — cooking banana
Red Banana,Red variety — premium export pricing
Karpooravalli,Karpooravalli — medicinal variety
