agentName,mobileNo,contactPerson,location,notes
Ramesh Agency,9876501001,Ramesh Patil,Nashik,Trusted agent for North Nashik cluster
Solapur Traders,9876501002,Suresh More,Solapur,Handles southern belt plots
Pune Central Agency,9876501003,Arjun Kadam,Pune,New partner from Jan 2026
Sangli Fruit Mart,9876501004,Vijay Desai,Sangli,Specialises in G9 variety
Ahmednagar Link,9876501005,Manoj Bhosale,Ahmednagar,
Kolhapur Associates,9876501006,Pradeep Jadhav,Kolhapur,High volume agent
Latur Banana Hub,9876501007,Shivaji Gaikwad,Latur,
Nanded Exports,9876501008,Ravi Shinde,Nanded,Premium cold chain access
Jalgaon Network,9876501009,Sachin Kulkarni,Jalgaon,Dominant agent in Khandesh belt
Dhule Agri Link,9876501010,Anil Wagh,Dhule,Part-time seasonal agent
Satara Fresh,9876501011,Ganesh More,Satara,
